body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.atributos,framework.field.autenticacoes,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.metodo,framework.field.mitigacoes,framework.field.modo,framework.field.passos,framework.field.passosSelecao,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.status,framework.field.statusCalc,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.total,framework.field.traceId,framework.field.veredito,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=20 httpStatus=200,http_access,20,3a22ecae-dabd-410c-8599-d712b3b0f19e,,,,,,,,20,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/dns,INFO,1788807842000000000,52aa5e925eb3412684d91dbcef8855e8
evento=aprofundamento_view status=ok ataques=6 conceitos=6 mitigacoes=6 protocolo=dns,aprofundamento_view,,18978166-7705-4d88-aba5-d2ee5cb0288f,6,,,,,6,,,,,,,,,,,6,,,,,dns,,,,,,,,,,protocolos,ok,GET,,/protocolos/dns,INFO,1788807842000000000,52aa5e925eb3412684d91dbcef8855e8
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,bcc42b0e-104f-4dc6-a5e7-7c2acc48a026,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807842000000000,1210de8a62474f8b9f6212015714e438
evento=http_access status=ok durationMs=128 httpStatus=200,http_access,128,6e8bf9e9-84e7-4647-afff-7b1a666fef87,,,,,,,,128,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ssh,INFO,1788807842000000000,7a5839f2ba204107bf1cc52d7af1ad91
evento=aprofundamento_view status=ok autenticacoes=6 conceitos=6 encaminhamentos=6 hardening=10 protocolo=ssh,aprofundamento_view,,ad530f4c-15a0-4878-bd91-e89d9a1819d6,,,6,,,6,,,6,,10,,,,,,,,,,,ssh,,,,,,,,,,protocolos,ok,GET,,/protocolos/ssh,INFO,1788807841000000000,7a5839f2ba204107bf1cc52d7af1ad91
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,8,8d6d3ae2-309f-4425-ac60-54cfdeb52671,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807841000000000,72711ae3165141aebbe3ba66f3df943d
evento=http_access status=ok durationMs=59 httpStatus=200,http_access,59,dbb0e8e7-eaa8-4beb-b24a-95c8a7bde431,,,,,,,,59,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/tls,INFO,1788807841000000000,00ce71d74bdb42c081fd26261a9a9a9f
evento=aprofundamento_view status=ok ataques=6 ciphers=6 conceitos=6 protocolo=tls,aprofundamento_view,,bfd96c22-7d46-45d0-8618-64284bc2eacd,6,,,,6,6,,,,,,,,,,,,,,,,tls,,,,,,,,,,protocolos,ok,GET,,/protocolos/tls,INFO,1788807841000000000,00ce71d74bdb42c081fd26261a9a9a9f
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,e7d1f0f6-a258-45ea-a70c-8a40fadb69f8,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807841000000000,968960d7d8e64705b787ae49bf255b19
evento=http_access status=ok durationMs=68 httpStatus=200,http_access,68,38e2fee2-f552-43ef-8651-600b7f07c7ea,,,,,,,,68,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ftp,INFO,1788807840000000000,56389386a0504b6bbef3ff472f8190be
