body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.autenticacoes,framework.field.blocos,framework.field.campos,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enderecos,framework.field.estrategia,framework.field.exibidos,framework.field.extras,framework.field.formatos,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.mitigacoes,framework.field.pagina,framework.field.passos,framework.field.prefixoAlvo,framework.field.prefixoBase,framework.field.prefixoResumo,framework.field.prefixoVlan,framework.field.protocolo,framework.field.redes,framework.field.resultado,framework.field.status,framework.field.tabelas,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.tipos,framework.field.total,framework.field.totalSubredes,framework.field.truncado,framework.field.veredito,framework.field.vlans,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=tcp,aprofundamento_view,,760cedd1-4a69-4a15-824e-f17466013816,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/tcp,INFO,1788806379000000000,c6c04d2e23824f4180b1e9e597b20e07
evento=http_access status=ok,http_access,1,65a23343-d1bb-4f21-a2cd-a7ff3b6da72f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806378000000000,71b0f59b0cfd40f492b181edf3318f9d
evento=http_access status=ok,http_access,14,e0c4c231-3f76-455f-b1d5-0763ba1ee137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/http,INFO,1788806378000000000,2b7b5683d7e9458888d6d9c706ae8ac4
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=http,aprofundamento_view,,95d0d9dd-70d1-4725-9db9-8ce6621fea66,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,http,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/http,INFO,1788806378000000000,2b7b5683d7e9458888d6d9c706ae8ac4
evento=http_access status=ok,http_access,1,bcd440ec-27f2-4752-aeac-ffe91db3b5a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806377000000000,b004411bde464cf883a60e218c01c755
evento=http_access status=ok,http_access,17,f9db567d-fa3f-4de1-8f72-8ebf3136c3fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788806377000000000,39137fde95ba470ea7a34e3f2e0e35f2
evento=catalog_load status=ok total=47,catalog_load,,b2f60f55-3975-49d5-9acf-a8598f1be1a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788806377000000000,39137fde95ba470ea7a34e3f2e0e35f2
evento=catalog_load status=ok total=47,catalog_load,,60feaa45-c6d7-46e0-ada6-fcd417139963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788806377000000000,39137fde95ba470ea7a34e3f2e0e35f2
evento=http_access status=ok,http_access,1,4b61fe4c-35d7-4b62-b830-2e258f4f97b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806375000000000,351c3d95f2f144cd939563c7e06df6a3
evento=http_access status=ok,http_access,33,11463492-639b-4471-95e9-e33b56a908f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1788806375000000000,6d37e40d5973468d83a84ddd040cdc70
